addressid,address1,address2,city,state_name,postalcode,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,state_id,county_name,Zip,Country,Source,county_fips,all_county_weights,imprecise,military,timezone,zcta,parent_zcta,population,density
1,47 MySakila Drive,,Lethbridge,,,0,0,0,,,,,,,,,,,,,,,,,,
2,28 MySQL Boulevard,,Woodridge,,,41.736788,-88.041731,0.33,place,,,Woodridge,IL,DuPage County,60517,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
3,23 Workhaven Lane,,Lethbridge,,,0,0,0,,,,,,,,,,,,,,,,,,
4,1411 Lillydale Drive,,Woodridge,,,41.736788,-88.041731,0.33,place,,,Woodridge,IL,DuPage County,60517,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
5,1913 Hanoi Way,,Sasebo,,35200,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
6,1121 Loja Avenue,,San Bernardino,,17886,41.01789,-76.870841,0.22,place,,,West Milton,PA,Union County,17886,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
7,692 Joliet Street,,Athenai,,83579,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
8,1566 Inegl Manor,,Myingyan,,53561,43.364531,-89.66396,0.22,place,,,Merrimac,WI,Sauk County,53561,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
9,53 Idfu Parkway,,Nantou,,42399,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
10,1795 Santiago de Compostela Way,,Laredo,,18743,41.245915,-75.881308,0.06,place,,,Wilkes-Barre,PA,Luzerne County,18743,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
11,900 Santiago de Compostela Parkway,,Kragujevac,,93896,0,0,0,,,,,,,,,,,,,,,,,,
12,478 Joliet Way,,Hamilton,,77948,39.425137,-84.472925,0.23,place,,,Hamilton,OH,Butler County,45011,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
13,613 Korolev Drive,,Masqat,,45844,40.922538,-84.295652,0.22,place,,,Fort Jennings,OH,Putnam County,45844,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
14,1531 Sal Drive,,Esfahan,,53628,37.979232,-85.712459,0.17,place,,,Salt River,KY,Bullitt County,40165,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
15,1542 Tarlac Parkway,,Sagamihara,,1027,42.26676,-72.66898,0.22,place,,,Easthampton,MA,Hampshire County,1027,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
16,808 Bhopal Manor,,Yamuna Nagar,,10672,45.77135,-87.99485,0.23,place,,,Niagara,WI,Marinette County,54151,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
17,270 Amroha Parkway,,Osmaniye,,29610,34.849745,-82.453779,0.22,place,,,Greenville,SC,Greenville County,29610,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
18,770 Bydgoszcz Avenue,,Citrus Heights,,16266,38.689802,-121.26736,0.23,place,,,Citrus Heights,CA,Sacramento County,95610,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
19,419 Iligan Lane,,Bhopal,,72878,0,0,0,,,,,,,,,,,,,,,,,,
20,360 Toulouse Parkway,,Southend-on-Sea,,54308,44.459509,-87.805912,0.22,place,,,Green Bay,WI,Brown County,54308,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
21,270 Toulon Boulevard,,Elista,,81766,32.66367,-116.27363,0.23,place,,,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
22,320 Brest Avenue,,Kaduna,,43331,40.501851,-83.92023,0.22,place,,,Lakeview,OH,Logan County,43331,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
23,1417 Lancaster Avenue,,Kimberley,,72192,38.300217,-76.743445,0.23,place,,,Avenue,MD,St. Mary's County,20609,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
24,1688 Okara Way,,Mardan,,21954,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
25,262 A Corua (La Corua) Parkway,,Tangail,,34418,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
26,28 Charlotte Amalie Street,,Sal,,37551,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
27,1780 Hino Boulevard,,Liepaja,,7716,40.40789,-74.03431,0.22,place,,,Atlantic Highlands,NJ,Monmouth County,7716,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
28,96 Tafuna Way,,Crdoba,,99865,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
29,934 San Felipe de Puerto Plata Street,,Shikarpur,,99780,63.32782,-143.03804,0.09,place,,,Tok,AK,Southeast Fairbanks Census Area,99780,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
30,18 Duisburg Boulevard,,Citt del Vaticano,,58327,48.091012,-98.573116,0.22,place,,,Crary,ND,Ramsey County,58327,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
31,217 Botshabelo Place,,Davao,,49521,42.96336,-85.668086,0.16,place,,,Grand Rapids,MI,Kent County,49521,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
32,1425 Shikarpur Manor,,Munger (Monghyr),,65599,43.529339,-83.762898,0.23,place,,,Munger,MI,Bay County,48747,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
33,786 Aurora Avenue,,Shimonoseki,,65750,38.300217,-76.743445,0.23,place,,,Avenue,MD,St. Mary's County,20609,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
34,1668 Anpolis Street,,Lungtan,,50199,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
35,33 Gorontalo Way,,Kamarhati,,30348,33.844371,-84.47405,0.22,place,,,Atlanta,GA,Fulton County,30348,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
36,176 Mandaluyong Place,,Jhansi,,65213,38.689283,-120.054929,0.17,place,,,Plasse,CA,Amador County,95646,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
37,127 Purnea (Purnia) Manor,,Alessandria,,79388,37.865945,-81.267882,0.17,place,,,Maynor,WV,Raleigh County,25801,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
38,61 Tama Street,,Kurashiki,,94065,37.53256,-122.247806,0.22,place,,,Redwood City,CA,San Mateo County,94065,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
39,391 Callao Drive,,Toulouse,,34021,37.961716,-76.577422,0.23,place,,,Callao,VA,Northumberland County,22435,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
40,334 Munger (Monghyr) Lane,,Arak,,38145,35.201738,-89.971538,0.09,place,,,Memphis,TN,Shelby County,38145,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
41,1440 Fukuyama Loop,,Nanyang,,47929,40.66309,-86.86946,0.22,place,,,Chalmers,IN,White County,47929,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
42,269 Cam Ranh Parkway,,Chisinau,,34689,28.148306,-82.759877,0.22,place,,,Tarpon Springs,FL,Pinellas County,34689,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
43,306 Antofagasta Place,,Vila Velha,,3989,38.689283,-120.054929,0.17,place,,,Plasse,CA,Amador County,95646,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
44,671 Graz Street,,Nador,,94399,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
45,42 Brindisi Place,,Yerevan,,16744,41.867085,-78.567081,0.22,place,,,Rew,PA,McKean County,16744,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
46,1632 Bislig Avenue,,Pak Kret,,61117,42.271131,-89.093995,0.16,place,,,Rockford,IL,Winnebago County,61117,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
47,1447 Imus Way,,Faaa,,48942,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
48,1998 Halifax Drive,,Lipetsk,,76022,32.831019,-97.144339,0.22,place,,,Bedford,TX,Tarrant County,76022,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
49,1718 Valencia Street,,Antofagasta,,37359,35.194599,-86.467197,0.22,place,,,Mulberry,TN,Lincoln County,37359,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
50,46 Pjatigorsk Lane,,Moscow,,23616,0,0,0,,,,,,,,,,,,,,,,,,
51,686 Garland Manor,,Juazeiro do Norte,,52535,40.827181,-91.951174,0.09,place,,,Birmingham,IA,Van Buren County,52535,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
52,909 Garland Manor,,Niznekamsk,,69367,42.788579,-103.299462,0.09,place,,,Whitney,NE,Dawes County,69367,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
53,725 Isesaki Place,,Jedda,,74428,35.55556,-95.65139,0.22,place,,,Council Hill,OK,Muskogee County,74428,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
54,115 Hidalgo Parkway,,Omdurman,,80168,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
55,1135 Izumisano Parkway,,Fontana,,48150,42.369351,-83.371753,0.09,place,,,Livonia,MI,Wayne County,48150,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
56,939 Probolinggo Loop,,A Corua (La Corua),,4166,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
57,17 Kabul Boulevard,,Nagareyama,,38594,32.66367,-116.27363,0.23,place,,,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
58,1964 Allappuzha (Alleppey) Street,,Iwakuni,,48980,42.599184,-84.371973,0.22,place,,,Lansing,MI,Ingham County,48980,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
59,1697 Kowloon and New Kowloon Loop,,Balaiha,,57807,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
60,1668 Saint Louis Place,,Papeete,,39072,45.409279,-68.666598,1,state,,,,ME,,,US,US Census Bureau,,,,,,,,,
61,943 Tokat Street,,Vaduz,,45428,39.746656,-84.259292,0.22,place,,,Dayton,OH,Montgomery County,45428,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
62,1114 Liepaja Street,,Kuching,,69226,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
63,1213 Ranchi Parkway,,Mysore,,94352,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
64,81 Hodeida Way,,Jaipur,,55561,44.805487,-93.766524,0.22,place,,,Monticello,MN,Wright County,55561,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
65,915 Ponce Place,,Basel,,83980,40.361148,-87.511407,0.2,place,,,Pence,IN,Warren County,47973,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
66,1717 Guadalajara Lane,,Saint Louis,,85505,0,0,0,,,,,,,,,,,,,,,,,,
67,1214 Hanoi Way,,Lincoln,,67055,37.78335,-97.205419,0.22,place,,,Greenwich,KS,Sedgwick County,67055,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
68,1966 Amroha Avenue,,Daxian,,70385,38.300217,-76.743445,0.23,place,,,Avenue,MD,St. Mary's County,20609,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
69,698 Otsu Street,,Cayenne,,71110,32.513749,-93.640362,0.22,place,,,Barksdale Afb,LA,Bossier Parish,71110,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
70,1150 Kimchon Manor,,Malm,,96109,40.02796,-120.10382,0.22,place,,,Doyle,CA,Lassen County,96109,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
71,1586 Guaruj Place,,Xiangtan,,5135,38.689283,-120.054929,0.17,place,,,Plasse,CA,Amador County,95646,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
72,57 Arlington Manor,,Shivapuri,,48960,47.863149,-121.88433,0.12,place,,,Monroe,WA,Snohomish County,98272,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
73,1031 Daugavpils Parkway,,Bchar,,59025,45.0272,-106.81868,0.22,place,,,Decker,MT,Big Horn County,59025,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
74,1124 Buenaventura Drive,,al-Hawiya,,6856,41.111196,-73.420363,0.13,place,,,Norwalk,CT,Fairfield County,6856,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
75,492 Cam Ranh Street,,Baybay,,50805,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
76,89 Allappuzha (Alleppey) Manor,,Taguig,,75444,32.777228,-95.407675,0.22,place,,,Golden,TX,Wood County,75444,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
77,1947 Poos de Caldas Boulevard,,Chiayi,,60951,40.931202,-87.747179,0.09,place,,,Martinton,IL,Iroquois County,60951,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
78,1206 Dos Quebradas Place,,Rio Claro,,20207,38.893311,-77.014647,0.22,place,,,Washington,DC,District of Columbia,20207,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
79,1551 Rampur Lane,,Changhwa,,72394,35.02342,-90.68483,0.09,place,,,Widener,AR,St. Francis County,72394,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
80,602 Paarl Street,,Pavlodar,,98889,39.657355,-76.371332,0.23,place,,,Street,MD,Harford County,21154,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
81,1692 Ede Loop,,Araatuba,,9223,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
82,936 Salzburg Lane,,Rae Bareli,,96709,23.573339,-164.701172,0.09,place,,,Kapolei,HI,Honolulu County,96709,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
83,586 Tete Way,,Kamakura,,1079,42.192892,-72.329574,0.22,place,,,Thorndike,MA,Hampden County,1079,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
84,1888 Kabul Drive,,Ife,,20936,0,0,0,,,,,,,,,,,,,,,,,,
85,320 Baiyin Parkway,,Mahajanga,,37307,35.17424,-84.65355,0.22,place,,,Benton,TN,Polk County,37307,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
86,927 Baha Blanca Parkway,,Simferopol,,9495,38.338107,-90.969862,0.17,place,,,Parkway,MO,Franklin County,63077,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
87,929 Tallahassee Loop,,Springs,,74671,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
88,125 Citt del Vaticano Boulevard,,Atlixco,,67912,32.66367,-116.27363,0.23,place,,,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
89,1557 Ktahya Boulevard,,Bradford,,88002,32.383871,-106.493675,0.22,place,,,White Sands Missile Range,NM,Doña Ana County,88002,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
90,870 Ashqelon Loop,,Songkhla,,84931,32.91537,-102.41602,0.23,place,,,Loop,TX,Gaines County,79342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
91,1740 Portoviejo Avenue,,Sincelejo,,29932,32.81378,-81.23983,0.22,place,,,Luray,SC,Hampton County,29932,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
92,1942 Ciparay Parkway,,Cheju,,82624,42.866632,-106.313081,0.16,place,,,Casper,WY,Natrona County,82624,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
93,1926 El Alto Avenue,,La Plata,,75543,0,0,0,,,,,,,,,,,,,,,,,,
94,1952 Chatsworth Drive,,Meixian,,25958,38.00234,-80.73703,0.22,place,,,Charmco,WV,Greenbrier County,25958,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
95,1370 Le Mans Avenue,,Bandar Seri Begawan,,52163,43.216975,-92.092682,0.09,place,,,Protivin,IA,Howard County,52163,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
96,984 Effon-Alaiye Avenue,,Goinia,,17119,40.2737,-76.884418,0.16,place,,,Harrisburg,PA,Dauphin County,17119,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
97,832 Nakhon Sawan Manor,,Zalantun,,49021,42.514158,-85.014665,0.22,place,,,Bellevue,MI,Eaton County,49021,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
98,152 Kitwe Parkway,,Bislig,,53182,42.739435,-88.083092,0.22,place,,,Union Grove,WI,Racine County,53182,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
99,1697 Tanauan Lane,,Pathankot,,22870,0,0,0,,,,,,,,,,,,,,,,,,
100,1308 Arecibo Way,,Augusta-Richmond County,,30695,37.524246,-77.493157,0.23,place,,,Richmond,VA,Richmond city,23218,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
101,1599 Plock Drive,,Tete,,71986,41.320273,-79.926847,0.23,place,,,Polk,PA,Venango County,16342,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
102,669 Firozabad Loop,,al-Ayn,,92265,33.830296,-116.545292,0.06,place,,,Palm Springs,CA,Riverside County,92265,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
103,588 Vila Velha Manor,,Kimchon,,51540,41.013156,-95.500756,0.22,place,,,Hastings,IA,Mills County,51540,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
104,1913 Kamakura Place,,Jelets,,97287,38.689283,-120.054929,0.17,place,,,Plasse,CA,Amador County,95646,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
105,733 Mandaluyong Place,,Abha,,77459,29.529062,-95.530597,0.22,place,,,Missouri City,TX,Fort Bend County,77459,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
106,659 Vaduz Drive,,Ashdod,,49708,39.042313,-80.702322,0.2,place,,,Vadis,WV,Lewis County,26445,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
107,1177 Jelets Way,,Ilorin,,3305,43.2134,-71.517151,0.22,place,,,Concord,NH,Merrimack County,3305,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
108,1386 Yangor Avenue,,Toulon,,80720,40.073328,-103.202379,0.22,place,,,Akron,CO,Washington County,80720,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
109,454 Nakhon Sawan Boulevard,,Funafuti,,76383,33.633426,-99.566196,0.2,place,,,Vera,TX,Knox County,76383,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
110,1867 San Juan Bautista Tuxtepec Avenue,,Ivanovo,,78311,38.300217,-76.743445,0.23,place,,,Avenue,MD,St. Mary's County,20609,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
111,1532 Dzerzinsk Way,,Merlo,,9599,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
112,1002 Ahmadnagar Manor,,Huixquilucan,,93026,37.865945,-81.267882,0.17,place,,,Maynor,WV,Raleigh County,25801,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
113,682 Junan Way,,Klerksdorp,,30418,39.641185,-81.183444,0.17,place,,,Way,OH,Monroe County,45734,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
114,804 Elista Drive,,Enshi,,61069,40.52007,-78.531683,0.17,place,,,Elstie,PA,Cambria County,16613,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
115,1378 Alvorada Avenue,,Caracas,,75834,31.105786,-95.138794,0.22,place,,,Centralia,TX,Trinity County,75834,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
116,793 Cam Ranh Avenue,,Lancaster,,87057,34.650925,-105.880597,0.22,place,,,Tajique,NM,Torrance County,87057,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
117,1079 Tel Aviv-Jaffa Boulevard,,Cuman,,10885,32.66367,-116.27363,0.23,place,,,Boulevard,CA,San Diego County,91905,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
118,442 Rae Bareli Place,,Duisburg,,24321,36.832058,-81.814566,0.2,place,,,Clinchburg,VA,Washington County,24321,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,
